bodyId,LC17,LPLC1,LT79,LC16,Li19,mALC1,LC12,LPLC2,Li11,LC6,LC25,LT69,LC9,LC4,LC11,LT1,LC14,LC21,Li16,LC39,LT62,LT83,LC31,DNp11,LC24,Li20,LC10,LC26,mALC2,LT56,LC18,PLP244,LC20,Li13,LC22,LT11,LT58,LC13,LT34,LC15,Li14,LT61,Li15,OA-ASM1,Li12,LT77,CL285,LC28b,IB085,LC33,IB112,LT85,IB088,CL033,DNp27,LPLC4,Li17,LT51,LT55,PS273,LT87,LC28a,LT41,PVLP132,LC29,MC64,LT74,LC32,PLP030,LT35,LT68,PS179,PLP091,AVLP391,PLP098,LT65,LT73,PLP168,LT57,LT82a,mALD2,CT1,aMe20,PLP031,LT52,IB119,PLP240,PLP105,LC36,LT80,PS104,LC40a,LT36,PLP051,LC35,LC38,LT75,PLP183,Li18,LT66,LT38,MC61,5-HTPMPV03,IB006,PLP125,PLP153,LT42,LT46,LT63,LT33,LC37a,LC41,LC46b,LT44b,mALC3,LC27,VES080,VES044,LT40,LT45,LLPC3,WED068,LPC2,LT67,LT72,LT47,std1,std2,std3,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,label,Putative cell type
1622019612,0,3,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.816793063,1.895092332,0.954706026,9,60,0,0,0,0,0,0,0,0,0,1,T2
2462719047,0,6,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.764245645,1.64656203,1.494118954,1,41,0,0,0,0,0,0,0,0,0,1,other
1405448568,10,5,0,0,0,0,0,0,4,0,0,0,0,0,5,16,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.346855331,1.621148393,1.367309474,0,48,7,0,0,0,0,0,0,0,0,1,T3
1343378293,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9486812,2.339445698,1.263526308,1,57,6,0,0,0,0,0,0,0,0,1,T3
1746841053,0,3,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.881120069,1.323254572,0.918339625,22,38,0,0,0,0,0,0,0,0,0,1,T2
1903030022,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.969046467,1.168730616,1.993283034,2,42,10,0,0,0,0,0,0,0,0,1,T3
1715464557,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.055090416,1.278437684,0.749371344,9,48,0,0,0,0,0,0,0,0,0,1,T2
5813003943,0,7,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.507255586,1.617106915,2.167631808,18,43,0,0,0,0,0,0,0,0,0,1,other
2399972821,6,3,0,0,0,3,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.423787884,3.215999953,1.978820199,10,49,0,0,0,0,0,0,0,0,0,1,other
2431343098,0,7,0,0,0,0,2,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.270872121,1.516647188,2.035133552,0,41,0,0,0,0,0,0,0,0,0,1,other
